gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000183527	1893.1883103427278	0.23899870904582415	0.19053468606440685	1.2543580068409954	0.2097119087024145	0.9576207126864448
ENSG00000221859	310.92456708772886	0.5506102510509832	0.44544144986013656	1.2361001681003607	0.21642133241420494	0.9576207126864448
ENSG00000160179	8719.734649251108	0.20337406441520264	0.1645853452861085	1.2356754124230527	0.2165792405528486	0.9576207126864448
ENSG00000186980	69.8775334832011	-0.8625856330804634	0.7004630653224808	-1.2314505586148847	0.21815439743386433	0.9576207126864448
ENSG00000157538	7107.731535383125	0.21530960610774455	0.1750474338319538	1.2300072122990535	0.21869440406770493	0.9576207126864448
ENSG00000183570	7225.560797503496	-0.1932597060520627	0.15737462868625404	-1.228023269477255	0.2194382329174304	0.9576207126864448
ENSG00000142197	3518.954975039587	-0.23082189742191278	0.19059313817182277	-1.2110713934193325	0.22586804391916993	0.9576207126864448
ENSG00000186967	111.33879761436421	-0.6707621177683762	0.5581915866113136	-1.2016700607052486	0.22949138523648377	0.9576207126864448
ENSG00000275895	7277.02567821382	0.2142664771389817	0.17932085141225332	1.1948776478112377	0.23213483715702382	0.9576207126864448
ENSG00000154736	3219.581897414613	0.681172681425331	0.5712568300255647	1.192410568456306	0.23310029835180598	0.9576207126864448
ENSG00000159197	257.13375881890187	0.5152121780911537	0.43210142493536563	1.1923408449028372	0.2331276251249145	0.9576207126864448
ENSG00000198743	3925.461917141741	0.3249570706529231	0.27577880229072876	1.1783250487481272	0.23866704541929912	0.9576207126864448
ENSG00000272804	536.4965109141632	0.42626495562876426	0.3704743805619039	1.1505922622294205	0.24990001779521787	0.9576207126864448
ENSG00000183640	166.85258848197589	-0.6063609934087543	0.5294158336917506	-1.1453397401820145	0.25206844994323757	0.9576207126864448
ENSG00000156304	5366.142254839676	-0.18668731804094316	0.16474349851531908	-1.1331999121263263	0.25713031108637513	0.9576207126864448
ENSG00000160209	13935.484627247033	-0.16599497822066253	0.1477743416365505	-1.1233004077861195	0.261309930693861	0.9576207126864448
ENSG00000160193	3250.3591337230614	-0.20571344893133536	0.18335947754837933	-1.121913367565404	0.2618992764149971	0.9576207126864448
ENSG00000231068	88.40424810469158	-0.6992968185513075	0.6311556591899469	-1.107962526152132	0.26787800018456337	0.9576207126864448
ENSG00000241837	2872.880497294462	0.22938319891056663	0.2073792422985865	1.1061049137227468	0.26868111216214036	0.9576207126864448
ENSG00000160199	5548.334787607124	-0.1886959237374395	0.17171158248535684	-1.0989120303141522	0.2718064386950896	0.9576207126864448
ENSG00000160183	6171.214581875111	0.19485508016860265	0.18261283987908797	1.0670393182517754	0.2859540815655521	0.9576207126864448
ENSG00000159079	3243.175238311469	-0.21223140013364136	0.19968937963816863	-1.0628076491508889	0.2878691899832964	0.9576207126864448
ENSG00000159082	14600.325884179863	0.1678272176545394	0.15816805899905298	1.0610689586545679	0.2886585635705059	0.9576207126864448
ENSG00000156273	5823.0463616137895	0.21396617283300828	0.2041240778628834	1.0482162372669046	0.2945389912003318	0.9576207126864448
ENSG00000244362	120.83261854209243	0.5628927441449623	0.5384825935583653	1.045331364242048	0.2958698465723831	0.9576207126864448
ENSG00000249209	326.7595186607517	-0.4089707557594129	0.39426856353779294	-1.037289790719545	0.2996008223087899	0.9576207126864448
ENSG00000187766	306.14110515629636	0.4899149478440849	0.480714768051083	1.0191385420304464	0.3081371986648077	0.9576207126864448
ENSG00000274749	204.42286145868667	0.440183542126757	0.4331576608215727	1.016220147859923	0.30952456407303686	0.9576207126864448
ENSG00000160298	6777.911325290114	-0.19643122726087459	0.20065124136885107	-0.9789684126587637	0.3275955871389948	0.9576207126864448
ENSG00000215455	429.3831450235609	0.4302179078810435	0.44293327266769805	0.9712928209026329	0.3314024827591774	0.9576207126864448
ENSG00000198390	213.1477200213292	0.4382516364258575	0.455265745426661	0.962628181075081	0.3357341499254927	0.9576207126864448
ENSG00000221837	684.1269430826403	0.2925239094838087	0.3065860210147291	0.9541332266736166	0.3400162090720762	0.9576207126864448
ENSG00000159147	6309.785685646728	-0.15501560127985342	0.1649254356324797	-0.9399132443420712	0.34726206316354	0.9576207126864448
ENSG00000159110	5273.117944429332	0.1583493022903243	0.17063471794737478	0.9280016645801271	0.3534067061621479	0.9576207126864448
ENSG00000222018	245.73029981439495	-0.3809083296165141	0.41073166208802586	-0.9273897407375422	0.35372421537074356	0.9576207126864448
ENSG00000154639	3235.473461024936	-0.15995580066822834	0.1799039672046	-0.8891176951440701	0.3739398299016468	0.9576207126864448
ENSG00000160233	1936.219850976841	-0.27720154811367	0.3138731582662395	-0.8831642362948945	0.37714754152978075	0.9576207126864448
ENSG00000188694	709.9752937382098	-0.36265755616547407	0.4125068546297574	-0.8791552239561565	0.37931711843515864	0.9576207126864448
ENSG00000156282	392.9252110309706	0.3387386243944441	0.38578615696224117	0.8780476392977422	0.3799178663104641	0.9576207126864448
ENSG00000160213	3871.4694756839426	0.18160861490407967	0.20904607591430197	0.8687492176534793	0.384984314691544	0.9576207126864448
ENSG00000160310	9501.367572955503	-0.148458264598311	0.17182134904385704	-0.8640268827153564	0.3875731229978984	0.9576207126864448
ENSG00000160307	954.39864897482	0.2221236854720838	0.2571334110939847	0.8638460654609195	0.3876724584381916	0.9576207126864448
ENSG00000157578	7965.857762725309	0.12381371731375874	0.14532789907496738	0.851961103833817	0.3942356807302279	0.9576207126864448
ENSG00000189169	484.3217950517964	-0.30112062744627516	0.35481005252853565	-0.848681217739899	0.39605870020654604	0.9576207126864448
ENSG00000183421	2101.5488935011767	-0.2420883398645454	0.28561295269110837	-0.8476098075508676	0.39665531055762115	0.9576207126864448
ENSG00000160294	10337.134737368435	0.13685017792030052	0.1650072429647767	0.829358611545999	0.40690151412652414	0.9576207126864448
